"","product_productid","movie_count","total_votes","movie_score_avg","movie_score_1","movie_score_2","movie_score_3","movie_score_4","movie_score_5"
"65","0767825373",141,397,4.51063829787234,5,2,7,29,98
"66","0767825411",306,1553,4.41830065359477,20,3,17,55,211
"67","0767825616",107,547,4.4392523364486,1,5,12,17,72
"68","0767827023",198,583,3.75252525252525,25,18,25,43,87
"69","0767827031",285,1873,4.46666666666667,10,12,10,56,197
"70","0767827929",109,475,4.44954128440367,2,8,5,18,76
"71","0767830520",249,1729,4.73092369477912,3,4,6,31,205
"72","0767830539",249,1729,4.73092369477912,3,4,6,31,205
"73","0767830547",249,1729,4.73092369477912,3,4,6,31,205
"74","0767830997",103,429,4.27184466019417,1,4,9,41,48
"75","0767831020",120,524,4.35,5,4,12,22,77
"76","0767831071",104,426,4.50961538461539,3,2,6,21,72
"77","0767831373",157,519,4.38853503184713,13,1,8,25,110
"78","0767834720",299,1296,3.68896321070234,34,28,49,74,114
"79","0767834739",299,1296,3.68896321070234,34,28,49,74,114
"80","0767835077",130,599,4.45384615384615,3,3,8,34,82
"81","0767835107",112,448,4.125,7,3,14,33,55
"82","0767835255",120,432,4.16666666666667,7,2,12,42,57
"83","0767835263",169,169,4.51479289940828,4,1,2,59,103
"84","0767836251",112,448,4.125,7,3,14,33,55
"85","0767836286",109,383,3.92660550458716,10,8,10,33,48
"86","0767836316",139,968,4.39568345323741,8,2,7,32,90
"87","0767836324",112,658,4.33928571428571,5,6,4,28,69
"88","0767837398",113,390,4.43362831858407,3,3,12,19,76
"89","0767837479",285,1873,4.46666666666667,10,12,10,56,197
"90","0767837495",130,599,4.45384615384615,3,3,8,34,82
"91","076783819X",109,383,3.92660550458716,10,8,10,33,48
"92","0767839129",169,1291,3.23668639053254,34,30,21,30,54
"93","076783917X",112,533,4.6875,0,1,6,20,85
"94","0767840968",109,383,3.92660550458716,10,8,10,33,48
"95","0767842316",141,397,4.51063829787234,5,2,7,29,98
"96","0767842359",202,1021,3.66831683168317,20,22,36,51,73
"97","0767843258",271,1412,4.51660516605166,7,7,17,48,192
"98","0767843789",120,524,4.35,5,4,12,22,77
"99","0767843843",109,265,4.22018348623853,7,6,10,19,67
"100","0767844653",163,822,4.32515337423313,3,10,11,46,93
"101","0767844688",169,1291,3.23668639053254,34,30,21,30,54
"102","0767845722",169,1291,3.23668639053254,34,30,21,30,54
"103","0767847105",112,533,4.6875,0,1,6,20,85
"104","0767849493",314,1984,3.99363057324841,36,18,30,58,172
"105","0767851013",101,290,4.57425742574257,2,4,5,13,77
"106","0767851900",314,1984,3.99363057324841,36,18,30,58,172
"107","0767853636",158,530,4.38607594936709,13,1,8,26,110
"108","0767853946",198,581,3.75252525252525,25,18,25,43,87
"109","0767853954",198,583,3.75252525252525,25,18,25,43,87
"110","0773386777",101,226,4.66336633663366,0,0,5,24,72
"111","0780018664",115,830,4.64347826086957,2,2,4,19,88
"112","0780021150",115,830,4.64347826086957,2,2,4,19,88
"113","0780022181",208,2486,4.42307692307692,6,14,14,26,148
"114","0780022300",170,966,4.34705882352941,10,8,8,31,113
"115","0780022343",106,718,4.86792452830189,1,0,0,10,95
"116","0780618548",103,535,4.50485436893204,3,2,4,25,69
"117","0780618556",189,703,4.59259259259259,6,2,10,27,144
"118","0780619412",186,530,4.56989247311828,0,4,9,50,123
"119","078061965X",103,535,4.50485436893204,3,2,4,25,69
"120","0780619684",189,703,4.59259259259259,6,2,10,27,144
"121","0780621468",165,667,4.37575757575758,9,4,9,37,106
"122","0780621573",132,1129,3.66666666666667,22,13,14,21,62
"123","0780621611",127,585,4.45669291338583,2,2,12,31,80
"124","0780622383",112,240,4.75892857142857,0,1,1,22,88
"125","0780622545",293,2620,4.43003412969283,6,17,17,58,195
"126","0780622553",293,2620,4.43003412969283,6,17,17,58,195
"127","078062257X",119,462,4.2436974789916,9,4,8,26,72
"128","0780622588",119,462,4.2436974789916,9,4,8,26,72
"129","0780623126",112,240,4.75892857142857,0,1,1,22,88
"130","0780623150",293,2620,4.43003412969283,6,17,17,58,195
"131","0780623282",119,462,4.2436974789916,9,4,8,26,72
"132","078062369X",147,414,4.2312925170068,10,6,6,43,82
"133","0780623703",127,674,4.55905511811024,3,2,4,30,88
"134","0780623746",143,778,4.47552447552448,3,6,9,27,98
"135","0780624394",165,667,4.37575757575758,9,4,9,37,106
"136","0780624475",119,462,4.2436974789916,9,4,8,26,72
"137","0780624548",165,667,4.37575757575758,9,4,9,37,106
"138","0780624890",147,414,4.2312925170068,10,6,6,43,82
"139","0780624963",147,414,4.2312925170068,10,6,6,43,82
"140","0780625129",317,1257,4.65299684542587,4,7,14,45,247
"141","0780625234",127,674,4.55905511811024,3,2,4,30,88
"142","078062551X",293,2620,4.43003412969283,6,17,17,58,195
"143","0780625633",317,1257,4.65299684542587,4,7,14,45,247
"144","078062565X",207,1520,4.67149758454106,5,6,5,20,171
"145","0780626966",223,710,4.67264573991031,4,3,7,34,175
"146","0780627016",127,674,4.55905511811024,3,2,4,30,88
"147","0780627024",127,674,4.55905511811024,3,2,4,30,88
"148","0780627032",223,710,4.67264573991031,4,3,7,34,175
"149","0780627717",113,486,4.6283185840708,0,2,3,30,78
"150","0780627725",113,486,4.6283185840708,0,2,3,30,78
"151","078062789X",101,576,2.96039603960396,18,22,24,20,17
"152","0780628543",101,576,2.96039603960396,18,22,24,20,17
"153","0780628551",101,576,2.96039603960396,18,22,24,20,17
"154","0780628799",382,1998,4.48952879581152,20,15,12,46,289
"155","0780629159",114,518,4.65789473684211,1,1,2,28,82
"156","0780629167",114,518,4.65789473684211,1,1,2,28,82
"157","0780629450",213,2631,4.52582159624413,9,7,8,28,161
"158","078062999X",213,2631,4.52582159624413,9,7,8,28,161
"159","0780630866",101,159,4.3960396039604,0,2,13,29,57
"160","0780631153",337,2348,4.17507418397626,30,15,34,45,213
"161","0780631684",326,625,3.90184049079755,21,22,56,96,131
"162","0780637593",122,433,4.62295081967213,3,1,3,25,90
"163","0780683048",381,4093,4.3989501312336,33,11,14,36,287
"164","0780684362",116,1675,4.29310344827586,10,4,8,14,80
"165","0782002064",562,3594,4.75266903914591,11,9,15,38,489
"166","0782008348",179,1387,4.56983240223464,7,5,4,26,137
"167","0782008372",192,1201,3.83854166666667,22,13,24,48,85
"168","0782009972",179,1387,4.56983240223464,7,5,4,26,137
"169","0782009980",111,749,4.45945945945946,4,3,9,17,78
"170","078201061X",100,378,4.53,4,2,3,19,72
"171","0783107986",318,3734,4.65408805031447,14,0,11,32,261
"172","0783108133",148,694,4.13513513513514,24,1,6,17,100
"173","0783110928",118,1071,4.38983050847458,5,2,10,26,75
"174","0783113145",110,443,4.46363636363636,6,2,4,21,77
"175","0783113196",148,694,4.13513513513514,24,1,6,17,100
"176","0783113927",118,1071,4.38983050847458,5,2,10,26,75
"177","0783113943",118,1072,4.38983050847458,5,2,10,26,75
"178","0783114222",224,2219,4.69642857142857,7,3,6,19,189
"179","0783115202",102,294,4.31372549019608,2,4,13,24,59
"180","0783116926",236,908,4.70338983050847,0,1,8,51,176
"181","0783117388",151,1150,4.33774834437086,10,4,11,26,100
"182","0783117523",118,1072,4.38983050847458,5,2,10,26,75
"183","0783211856",327,2116,4.68807339449541,10,5,12,23,277
"184","0783215126",460,1718,4.75434782608696,6,4,16,45,389
"185","0783216084",463,1714,4.71058315334773,9,10,10,48,386
"186","0783216890",291,1339,4.44329896907217,19,7,12,41,212
"187","0783219172",121,481,4.52892561983471,2,1,8,30,80
"188","0783219180",113,800,3.73451327433628,16,6,14,33,44
"189","078321958X",109,277,4.00917431192661,3,11,13,37,45
"190","078321961X",232,817,4.42672413793103,6,5,14,66,141
"191","0783219695",291,1339,4.44329896907217,19,7,12,41,212
"192","0783219857",113,800,3.73451327433628,16,6,14,33,44
"193","0783221088",248,1660,4.63709677419355,1,10,14,28,195
"194","0783221347",248,1660,4.63709677419355,1,10,14,28,195
"195","0783221487",408,3515,3.57107843137255,60,32,73,101,142
"196","078322172X",169,1033,4.50295857988166,7,0,7,42,113
"197","0783222726",141,250,4.76595744680851,2,1,3,16,119
"198","0783222904",106,229,4.52830188679245,1,0,9,28,68
"199","0783222955",369,2140,4.77235772357724,7,3,10,27,322
"200","0783223145",124,1517,4.08870967741935,13,7,11,18,75
"201","0783223153",121,481,4.52892561983471,2,1,8,30,80
"202","0783223161",303,1231,4.79207920792079,4,2,8,25,264
"203","0783223226",201,972,4.47761194029851,7,6,18,23,147
"204","0783223307",106,229,4.52830188679245,1,0,9,28,68
"205","0783223676",122,390,4.54918032786885,3,1,12,16,90
"206","0783225199",244,1612,4.4344262295082,18,5,8,35,178
"207","0783225202",244,1612,4.4344262295082,18,5,8,35,178
"208","0783225261",104,214,4.30769230769231,7,1,11,19,66
"209","0783225431",224,1062,4.70982142857143,4,2,8,27,183
"210","078322544X",224,1062,4.70982142857143,4,2,8,27,183
"211","0783225482",122,390,4.54918032786885,3,1,12,16,90
"212","0783225733",291,1339,4.44329896907217,19,7,12,41,212
"213","0783225768",130,801,4.47692307692308,5,3,8,23,91
"214","0783225784",172,1328,4.40116279069767,15,3,4,26,124
"215","0783225792",232,817,4.42672413793103,6,5,14,66,141
"216","0783225849",303,1231,4.79207920792079,4,2,8,25,264
"217","0783225857",369,2140,4.77235772357724,7,3,10,27,322
"218","0783225865",142,1550,4.23943661971831,16,3,10,15,98
"219","0783225873",142,1550,4.23943661971831,16,3,10,15,98
"220","0783225881",145,525,4.59310344827586,6,2,7,15,115
"221","0783225903",208,2486,4.42307692307692,6,14,14,26,148
"222","0783225970",395,2430,4.46582278481013,16,19,18,54,288
"223","0783225989",124,1517,4.08870967741935,13,7,11,18,75
"224","0783225997",124,1517,4.08870967741935,13,7,11,18,75
"225","0783226039",155,1032,4.20645161290323,11,6,12,37,89
"226","0783226055",248,1660,4.63709677419355,1,10,14,28,195
"227","0783226063",408,3515,3.57107843137255,60,32,73,101,142
"228","078322608X",169,1033,4.50295857988166,7,0,7,42,113
"229","078322611X",145,525,4.59310344827586,6,2,7,15,115
"230","0783226128",395,2430,4.46582278481013,16,19,18,54,288
"231","0783226152",166,960,4.51204819277108,6,6,7,25,122
"232","0783226160",172,1328,4.40116279069767,15,3,4,26,124
"233","0783226179",142,1550,4.23943661971831,16,3,10,15,98
"234","0783226853",118,697,4.72033898305085,1,1,5,16,95
"235","078322687X",233,1075,4.55364806866953,5,5,13,43,167
"236","078322706X",152,732,4.53947368421053,2,3,8,37,102
"237","0783227361",158,636,4.60126582278481,1,5,5,34,113
"238","078322737X",166,960,4.51204819277108,6,6,7,25,122
"239","0783227434",327,1570,4.40366972477064,6,13,26,80,202
"240","0783227507",496,2172,4.63306451612903,9,6,16,96,369
"241","0783227752",152,732,4.53947368421053,2,3,8,37,102
"242","0783227876",111,357,4.63063063063063,1,0,7,23,80
"243","0783227957",104,214,4.30769230769231,7,1,11,19,66
"244","078322799X",121,481,4.52892561983471,2,1,8,30,80
"245","0783228015",386,1403,4.57772020725389,15,11,11,48,301
"246","078322804X",244,1612,4.4344262295082,18,5,8,35,178
"247","078322818X",166,960,4.51204819277108,6,6,7,25,122
"248","0783228317",264,1411,4.375,19,8,11,43,183
"249","0783228457",102,653,4.38235294117647,0,8,9,21,64
"250","0783228570",395,2430,4.46582278481013,16,19,18,54,288
"251","0783228600",264,1411,4.375,19,8,11,43,183
"252","0783228996",168,952,4.52976190476191,6,5,7,26,124
"253","0783229003",172,1328,4.40116279069767,15,3,4,26,124
"254","0783229100",142,1550,4.23943661971831,16,3,10,15,98
"255","0783229135",172,1328,4.40116279069767,15,3,4,26,124
"256","0783229321",172,1328,4.40116279069767,15,3,4,26,124
"257","0783229445",100,222,4.48,2,3,6,23,66
"258","0783229526",264,1411,4.375,19,8,11,43,183
"259","0783229569",264,1411,4.375,19,8,11,43,183
"260","078322995X",149,372,4.6510067114094,1,5,7,19,117
"261","0783230427",121,814,3.87603305785124,11,4,19,42,45
"262","0783230656",113,800,3.73451327433628,16,6,14,33,44
"263","0783230699",109,277,4.00917431192661,3,11,13,37,45
"264","0783230702",169,1032,4.50295857988166,7,0,7,42,113
"265","0783230710",291,1339,4.44329896907217,19,7,12,41,212
"266","0783230893",186,893,4.66666666666667,4,1,11,21,149
"267","0783231482",244,1612,4.4344262295082,18,5,8,35,178
"268","0783231539",496,2171,4.63306451612903,9,6,16,96,369
"269","0783232071",224,1062,4.70982142857143,4,2,8,27,183
"270","0783233078",108,423,4.52777777777778,0,3,8,26,71
"271","0783233086",186,893,4.66666666666667,4,1,11,21,149
"272","0783233094",186,893,4.66666666666667,4,1,11,21,149
"273","0783233477",152,732,4.53947368421053,2,3,8,37,102
"274","078323354X",244,1612,4.4344262295082,18,5,8,35,178
"275","0783233558",246,1619,4.44308943089431,18,5,8,34,181
"276","0783235208",254,546,4.30708661417323,17,8,12,60,157
"277","0783235607",303,1231,4.79207920792079,4,2,8,25,264
"278","0783235666",131,456,4.22900763358779,6,6,13,33,73
"279","0783235968",145,525,4.59310344827586,6,2,7,15,115
"280","0783236352",101,493,4.45544554455446,5,3,5,16,72
"281","0783236689",149,372,4.6510067114094,1,5,7,19,117
"282","0783237413",121,436,3.05785123966942,29,16,26,19,31
"283","0783240171",201,972,4.47761194029851,7,6,18,23,147
"284","0783240236",131,456,4.22900763358779,6,6,13,33,73
"285","0783240287",192,487,4.44791666666667,6,5,14,39,128
"286","0783240295",143,502,3.44055944055944,16,24,24,39,40
"287","0783240503",192,487,4.44791666666667,6,5,14,39,128
"288","0783240589",185,911,4.82702702702703,3,0,1,18,163
"289","0783240708",185,911,4.82702702702703,3,0,1,18,163
"290","0783241038",453,1662,4.60927152317881,2,4,17,123,307
"291","0783241291",143,502,3.44055944055944,16,24,24,39,40
"292","0783241305",143,502,3.44055944055944,16,24,24,39,40
"293","0783241313",122,434,4.23770491803279,5,5,16,26,70
"294","0783241321",122,434,4.23770491803279,5,5,16,26,70
"295","0783241542",162,571,4.12345679012346,11,6,14,52,79
"296","0783241569",195,733,4.22051282051282,11,12,14,44,114
"297","0783241577",195,733,4.22051282051282,11,12,14,44,114
"298","0783241585",116,403,4.07758620689655,2,9,12,48,45
"299","0783241593",116,403,4.07758620689655,2,9,12,48,45
"300","0783241895",130,801,4.47692307692308,5,3,8,23,91
"301","0783241917",106,349,3.39622641509434,12,15,22,33,24
"302","0783241925",106,349,3.39622641509434,12,15,22,33,24
"303","0783242808",162,571,4.12345679012346,11,6,14,52,79
"304","0783242816",162,571,4.12345679012346,11,6,14,52,79
"305","078324343X",106,349,3.39622641509434,12,15,22,33,24
"306","0783243448",143,502,3.44055944055944,16,24,24,39,40
"307","0783243456",129,487,2.11627906976744,58,26,26,10,9
"308","0783243499",373,2255,3.94906166219839,40,25,30,97,181
"309","0783244320",453,1664,4.60927152317881,2,4,17,123,307
"310","0783244509",106,349,3.39622641509434,12,15,22,33,24
"311","0783244517",143,502,3.44055944055944,16,24,24,39,40
"312","0783246641",373,2252,3.94906166219839,40,25,30,97,181
"313","0783246692",121,436,3.05785123966942,29,16,26,19,31
"314","0783265255",322,866,4.51242236024845,11,13,14,46,238
"315","0784001847",161,635,4.75776397515528,1,2,3,23,132
"316","078401020X",102,754,4.13725490196078,2,8,11,34,47
"317","0784010218",228,941,4.63157894736842,6,4,9,30,179
"318","0784010315",321,1114,4.46417445482866,6,9,23,75,208
"319","0784010331",254,1854,3.97637795275591,25,9,35,63,122
"320","0784010528",147,624,3.95238095238095,9,16,21,28,73
"321","0784010706",228,941,4.63157894736842,6,4,9,30,179
"322","0784010919",228,941,4.63157894736842,6,4,9,30,179
"323","0784010927",228,941,4.63157894736842,6,4,9,30,179
"324","0784011168",106,1088,4.4622641509434,5,1,8,18,74
"325","0784011206",139,478,4.35971223021583,2,2,11,53,71
"326","0784011370",139,478,4.35971223021583,2,2,11,53,71
"327","0784011796",166,1166,4.21084337349398,12,6,10,45,93
"328","0784011923",360,2121,4.30555555555556,15,11,38,81,215
"329","078401213X",166,1166,4.21084337349398,12,6,10,45,93
"330","0784013470",151,622,4.01986754966887,7,13,17,47,67
"331","0788806270",244,1319,4.56147540983607,10,7,8,30,189
"332","078881107X",236,1515,4.42796610169492,10,10,16,33,167
"333","0788811304",126,1773,3.83333333333333,23,9,6,16,72
"334","0788811355",126,1773,3.83333333333333,23,9,6,16,72
"335","0788811363",126,1773,3.83333333333333,23,9,6,16,72
"336","078881172X",239,1646,4.46861924686193,13,8,12,27,179
"337","0788812262",304,1669,4.77302631578947,6,1,5,32,260
"338","0788812408",493,1640,4.39350912778905,48,7,16,54,368
"339","0788812807",311,1241,4.54983922829582,17,5,11,35,243
"340","0788812815",311,1241,4.54983922829582,17,5,11,35,243
"341","0788812823",311,1241,4.54983922829582,17,5,11,35,243
"342","0788814664",194,1694,4.1340206185567,23,7,10,35,119
"343","0788814958",107,462,4.57943925233645,4,0,4,21,78
"344","0788815466",109,302,4.35779816513761,10,2,6,12,79
"345","0788821075",163,1130,4.16564417177914,15,4,16,32,96
"346","0788833073",258,943,4.3062015503876,6,13,24,68,147
"347","0788837613",458,1110,4.7292576419214,4,5,15,63,371
"348","0790700506",105,301,4.65714285714286,0,2,3,24,76
"349","0790701251",315,2126,4.2984126984127,15,9,34,66,191
"350","0790702959",155,1667,4.27096774193548,14,8,8,17,108
"351","0790705141",439,2725,4.3621867881549,25,16,24,84,290
"352","079070546X",392,1356,4.50765306122449,21,11,14,48,298
"353","079070613X",119,374,4.78151260504202,2,0,3,12,102
"354","0790715112",237,1720,4.48101265822785,13,7,14,22,181
"355","0790720434",195,894,4.41025641025641,11,8,8,31,137
"356","0790729342",194,1036,4.2680412371134,8,7,23,43,113
"357","0790729350",259,2299,4.18146718146718,17,14,25,52,151
"358","0790729369",141,970,4.33333333333333,11,6,5,22,97
"359","0790729385",377,2311,4.54907161803713,9,14,18,56,280
"360","079072961X",171,649,4.47953216374269,7,5,8,30,121
"361","0790729636",241,929,4.14107883817427,12,11,25,76,117
"362","0790729644",237,1720,4.48101265822785,13,7,14,22,181
"363","0790729660",127,401,4.17322834645669,11,6,8,27,75
"364","0790729687",253,1209,4.46640316205534,6,9,15,54,169
"365","0790729709",151,929,4.26490066225166,10,6,11,31,93
"366","0790729717",160,852,4.71875,5,3,0,16,136
"367","0790729725",447,1945,4.32438478747204,35,14,28,64,306
"368","0790729733",200,1250,4.45,10,6,11,30,143
"369","0790729741",137,212,4.42335766423358,8,3,6,26,94
"370","0790729989",322,1840,4.55900621118012,12,3,14,57,236
"371","0790730987",134,476,4.73880597014925,3,2,1,15,113
"372","0790731002",116,374,3.12068965517241,16,23,25,35,17
"373","0790731010",162,1689,4.28395061728395,14,8,9,18,113
"374","0790731037",174,2164,4.51724137931035,8,5,10,17,134
"375","0790731231",447,1945,4.32438478747204,35,14,28,64,306
"376","0790731258",127,401,4.17322834645669,11,6,8,27,75
"377","0790731452",143,443,4.25874125874126,3,5,18,43,74
"378","0790731487",250,2554,4.484,16,4,10,33,187
"379","0790731495",171,786,4.42105263157895,8,6,12,25,120
"380","0790731509",160,537,4.76875,3,0,6,13,138
"381","0790731533",132,507,4.14393939393939,15,4,7,27,79
"382","0790731541",109,857,4.39449541284404,4,5,8,19,73
"383","079073155X",147,923,4.41496598639456,8,8,6,18,107
"384","0790731576",115,373,4.0695652173913,5,2,20,41,47
"385","0790731908",115,452,4.36521739130435,8,2,8,19,78
"386","0790731932",194,1036,4.2680412371134,8,7,23,43,113
"387","0790731975",102,503,4.69607843137255,2,2,1,15,82
"388","0790731983",107,669,4.39252336448598,6,5,5,16,75
"389","0790731991",121,903,4.56198347107438,1,3,9,22,86
"390","0790732009",121,903,4.56198347107438,1,3,9,22,86
"391","0790732017",104,422,4.57692307692308,2,1,6,21,74
"392","0790732025",104,422,4.57692307692308,2,1,6,21,74
"393","0790732181",248,632,4.79435483870968,1,1,6,32,208
"394","0790732246",151,705,4.72185430463576,2,0,6,22,121
"395","0790732254",112,853,4.53571428571429,2,5,7,15,83
"396","0790732297",110,364,4.51818181818182,7,2,3,13,85
"397","0790732300",102,503,4.69607843137255,2,2,1,15,82
"398","0790732475",202,1297,1.70792079207921,131,28,24,9,10
"399","0790732491",202,1297,1.70792079207921,131,28,24,9,10
"400","0790732556",188,1260,4.66489361702128,3,1,5,38,141
"401","0790732564",110,364,4.51818181818182,7,2,3,13,85
"402","0790732912",202,1297,1.70792079207921,131,28,24,9,10
"403","079073320X",215,1217,4.58604651162791,5,5,4,46,155
"404","0790733226",215,1217,4.58604651162791,5,5,4,46,155
"405","0790733420",202,980,4.55940594059406,3,5,10,42,142
"406","079073382X",102,711,4.37254901960784,7,3,6,15,71
"407","0790733889",134,536,4.52238805970149,2,2,7,36,87
"408","0790733897",231,1221,4.45021645021645,10,3,14,50,154
"409","0790733900",160,537,4.76875,3,0,6,13,138
"410","0790733919",160,537,4.76875,3,0,6,13,138
"411","0790734060",403,2789,4.38213399503722,23,17,26,54,283
"412","0790734079",248,632,4.79435483870968,1,1,6,32,208
"413","0790734249",403,2789,4.38213399503722,23,17,26,54,283
"414","0790734311",237,1720,4.48101265822785,13,7,14,22,181
"415","079073432X",110,364,4.51818181818182,7,2,3,13,85
"416","0790734400",143,443,4.25874125874126,3,5,18,43,74
"417","0790734427",271,848,4.43911439114391,9,5,16,69,172
"418","0790734435",136,491,4.36764705882353,5,0,13,40,78
"419","0790734443",116,374,3.12068965517241,16,23,25,35,17
"420","0790734451",202,1297,1.70792079207921,131,28,24,9,10
"421","0790734478",194,1037,4.2680412371134,8,7,23,43,113
"422","0790734559",194,1037,4.2680412371134,8,7,23,43,113
"423","079073463X",199,620,4.61306532663317,1,5,5,48,140
"424","0790734680",154,520,4.12987012987013,7,10,17,42,78
"425","0790734702",154,520,4.12987012987013,7,10,17,42,78
"426","0790734834",215,1091,4.73023255813953,5,3,2,25,180
"427","0790734850",215,1088,4.73023255813953,5,3,2,25,180
"428","0790735172",196,835,4.70408163265306,2,4,6,26,158
"429","0790735199",196,835,4.70408163265306,2,4,6,26,158
"430","0790735474",110,364,4.51818181818182,7,2,3,13,85
"431","0790735687",195,983,4.40512820512821,10,6,10,38,131
"432","0790735695",250,2554,4.484,16,4,10,33,187
"433","0790735717",115,452,4.36521739130435,8,2,8,19,78
"434","0790736039",215,517,3.96744186046512,18,10,35,50,102
"435","0790736233",215,1217,4.58604651162791,5,5,4,46,155
"436","0790736241",215,1217,4.58604651162791,5,5,4,46,155
"437","0790736314",377,2311,4.54907161803713,9,14,18,56,280
"438","0790736322",377,2311,4.54907161803713,9,14,18,56,280
"439","0790736330",215,1217,4.58604651162791,5,5,4,46,155
"440","0790736365",156,802,4.62179487179487,4,2,6,25,119
"441","0790736489",136,942,3.83088235294118,17,10,13,35,61
"442","0790736500",136,943,3.83088235294118,17,10,13,35,61
"443","0790736578",211,1090,4.70616113744076,0,4,6,38,163
"444","0790736586",145,550,4.33103448275862,4,1,16,46,78
"445","0790736918",385,2132,4.64675324675325,4,7,16,67,291
"446","0790736926",385,2132,4.64675324675325,4,7,16,67,291
"447","0790736942",377,2311,4.54907161803713,9,14,18,56,280
"448","0790737302",110,344,4.13636363636364,7,6,14,21,62
"449","0790737310",110,344,4.13636363636364,7,6,14,21,62
"450","0790737345",110,344,4.13636363636364,7,6,14,21,62
"451","0790738058",154,520,4.12987012987013,7,10,17,42,78
"452","0790738066",136,942,3.83088235294118,17,10,13,35,61
"453","0790738074",208,971,4.60096153846154,8,1,11,26,162
"454","0790738082",208,971,4.60096153846154,8,1,11,26,162
"455","0790738139",215,1091,4.73023255813953,5,3,2,25,180
"456","0790738147",215,1091,4.73023255813953,5,3,2,25,180
"457","0790739909",110,344,4.13636363636364,7,6,14,21,62
"458","0790739917",110,344,4.13636363636364,7,6,14,21,62
"459","0790740052",186,523,4.44623655913978,5,3,11,52,115
